TAXON_NAME,START_DATE,PARENT_NAME,TRAINING,COMMENTS
Pseudosolenia spp. ~30 µm cell width,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Pyrophacus spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Raphidophytes,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Rhabdonema spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Rhizosolenia fallax,2015-02-01,Rhizosolenia fallax group,Hobart phytoplankton workshop Feb2015,R. fallax group used previously and still used if unsure of identification
Rhizosolenia robusta,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Rhizosolenia styliformis,2008-09-29,Rhizosolenia styliformis group,Hobart phytoplankton workshop Feb2015,R. styliformis group used previously and still used if unsure of identification
Rhizosolenia temperei,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Striatella spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Thalassionema spp. > 100 µm length,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Thalassionema spp. < 100 µm length,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Thalassiosira gravida,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Toxarium cf. spp.,2008-09-29,,,
Trigonium spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Acanthoica quattrospina,2008-09-29,,,
Gonyaulax scrippsae,2008-09-29,,,
Tripos axialis,2008-09-29,,,
Ceratocorys spp.,2008-09-29,,,
Cylindrotheca closterium,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Amphora spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Entomoneis spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Daturella spp.,2008-09-29,,,
Oxytoxum scolopax,2008-09-29,,,
Chaetoceros decipiens < 15 µm cell width,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Chaetoceros similis,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Tripos gibberus,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart but not routinely speciated previoulsy in NRS samples
Tripos symmetricus,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart but not routinely speciated previoulsy in NRS samples
Asteromphalus spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Brachidinium spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Chaetoceros curvisetus,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Chaetoceros danicus,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Chaetoceros didymus,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Chlorophyta,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Hemidiscus spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Ornithocercus spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Actinopoda,2008-09-29,,,
Akashiwo spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Cochlodinium spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Cyclotella spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Surirella spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Codonella spp.,2012-08-07,,,Tintinnids not previously counted in NRS samples
Tripos platycornis,2008-09-29,,,
Tripos declinatus,2012-08-07,Tripos spp.,Pru Bonham 2012-03-01,Ceratium not routinely speciated previoulsy in NRS samples
Navicula cf. 120-140 µm length,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Chaetoceros spp. 10-20 µm,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Chaetoceros compressus,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Navicula cf. 40-60 µm length,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Navicula cf. 20-40 µm length,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Odontella spp. ~50 µm cell length,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Chaetoceros lorenzianus,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Navicula cf. 200-250 µm length,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Licmophora spp. > 150 µm,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Chaetoceros spp. 20-30 µm,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Odontella spp. <25 µm cell length,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Prorocentrum micans,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Chaetoceros decipiens > 15 µm cell width,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Chaetoceros peruvianus > 40 µm cell width,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Cyanobacteria coccoid chain,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Navicula cf. > 350 µm length,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Nitzschia spp. >300 µm length,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Rhizosolenia clevei,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Chaetoceros spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Calciosolenia spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Rhizosolenia pungens,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Cryptophyta < 10 µm length,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Chaetoceros affinis,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Coscinodiscus spp. 200-300 µm,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Cyanobacteral filament,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Proboscia alata ~ 50 µm cell width,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Rhizosolenia formosa,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Chaetoceros coarctatus (+ciliates),2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Navicula cf. 300-350 µm length,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Coscinodiscus spp. 80-100 µm,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Lauderia annulata > 70 µm length,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Ditylum brightwellii > 40 µm width,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
